,date,ad,ad_type,primed,browser_size,dist,Air Travel,Eyewear,Food and Drinks,Headphones,Men's Fashion,None of the above,None of these products,Soda,TV Shows,Women's Fashion,Do you use ad blocking software on your computer?,How relevant was the ad to you?,Do you generally find that ads are relevant to you?,How important is it to you that ads help you find products you are interested in?,Did the ad you saw help you find a product you are interested in?,Do you think this ad technology can reliably help you find products you are interested in?,Do you have a smart phone?,How often do you make purchases using your mobile phone?,How often do you make purchases using your computer?,What is your age?,What is your gender?,What type of environment do you most identify with?
5636318331666432,2017-02-14 21:57:34.70417 UTC,Food and Drinks,new,False,"1024,653",0.0,False,False,True,False,False,False,False,False,True,False,No,3,3,1,4,3,Yes,Often (monthly),Often (monthly),18-24 years old,Female,Urban
5637489247125504,2017-02-18 04:57:49.19852 UTC,Air Travel,old,False,"375,559",0.0,True,False,True,False,False,False,False,False,False,False,No,3,3,5,4,5,Yes,Often (monthly),Sometimes (every 2-3 months),18-24 years old,Female,Urban
5639445604728832,2017-02-13 02:17:46.90314 UTC,Food and Drinks,new,True,"1500,871",5451.443759566706,True,False,True,False,False,False,False,False,False,False,No,2,2,3,2,3,Yes,Often (monthly),Often (monthly),25-30 years old,Male,Urban
5642554087309312,2017-02-13 03:01:06.70856 UTC,Air Travel,new,True,"1166,619",1786.3472612473101,True,False,True,False,False,False,False,False,False,False,No,4,2,5,2,2,Yes,Sometimes (every 2-3 months),Very often (weekly),25-30 years old,Female,Urban
5644406560391168,2017-02-13 02:45:54.19047 UTC,Food and Drinks,new,False,"1024,672",346.5948643589515,False,False,True,False,False,False,False,False,True,False,No,3,2,1,1,3,Yes,Sometimes (every 2-3 months),Often (monthly),31-40 years old,Male,Urban
5651124426113024,2017-02-15 22:17:36.34763 UTC,TV Shows,old,True,"1600,794",8695.51532543209,False,False,True,False,False,False,False,False,True,False,No,1,1,1,1,1,Yes,Often (monthly),Often (monthly),18-24 years old,Male,Urban
5654313976201216,2017-02-13 02:45:11.16933 UTC,TV Shows,new,False,"1230,676",1367.8773395918383,True,False,True,False,False,False,False,False,True,False,Yes,2,1,1,1,2,Yes,Very often (weekly),Very often (weekly),25-30 years old,Female,Urban
5655869022797824,2017-02-17 13:42:28.33846 UTC,Food and Drinks,new,False,"1324,748",787.655882338162,True,False,True,False,False,False,False,False,True,False,Yes,3,2,1,1,2,Yes,Never,Sometimes (every 2-3 months),25-30 years old,Female,Urban
5656058538229760,2017-02-13 03:14:44.03364 UTC,TV Shows,new,True,"768,928",264.30135807986767,False,False,True,False,False,False,False,False,True,False,Yes,2,3,2,1,3,Yes,Rarely (less than twice a year),Sometimes (every 2-3 months),31-40 years old,Male,Rural
5659118702428160,2017-02-16 01:43:30.67889 UTC,TV Shows,new,True,"1440,703",1123.6406111491303,True,False,True,False,False,False,False,False,True,False,Yes,2,2,1,1,1,Yes,Rarely (less than twice a year),Often (monthly),31-40 years old,Female,Rural
5664248772427776,2017-02-13 02:47:54.17119 UTC,Air Travel,new,True,"1280,685",6214.886931691386,True,False,True,False,False,False,False,False,True,False,Yes,1,3,1,1,3,Yes,Often (monthly),Sometimes (every 2-3 months),25-30 years old,Male,Urban
